MSSV,HoTen,NgaySinh,QueQuan,Lop,Diem
20230001,Nguyễn Văn An,15/02/2003,Hà Nội,CNTT01,6.5
20230002,Trần Thị Bình,22/08/2003,Đà Nẵng,CNTT01,9.5
20230003,Lê Hoàng Cường,10/11/2002,Hải Phòng,CNTT01,8.4
20230004,Phạm Minh Dung,05/04/2003,Quảng Ninh,CNTT01,7.7
20230005,Hoàng Quốc Đạt,18/09/2003,Nghệ An,CNTT01,5.3
20230006,Vũ Thu Thảo,30/01/2003,Thái Bình,CNTT01,5.3
20230007,Đặng Đức Anh,12/06/2002,Thanh Hóa,CNTT01,4.8
20230008,Bùi Tuyết Mai,25/12/2003,Nam Định,CNTT01,9.1
20230009,Đỗ Hải Đăng,08/03/2003,Hưng Yên,CNTT01,7.7
20230010,Ngô Thanh Tùng,19/07/2003,Hà Tĩnh,CNTT01,8.3
20230011,Dương Hồng Hạnh,03/05/2003,Bắc Ninh,CNTT02,4.6
20230012,Lý Văn Phong,14/10/2002,Thừa Thiên Huế,CNTT02,9.6
20230013,Nông Thị Linh,28/02/2003,Lạng Sơn,CNTT02,8.9
20230014,Trịnh Văn Minh,09/09/2003,Vĩnh Phúc,CNTT02,5.6
20230015,Đinh Bảo Ngọc,17/11/2003,Ninh Bình,CNTT02,5.5
20230016,Lương Văn Thái,21/04/2002,Cao Bằng,CNTT02,5.5
20230017,Phan Thị Hoa,11/01/2003,Quảng Bình,CNTT02,6.1
20230018,Võ Nhật Nam,06/08/2003,Quảng Trị,CNTT02,7.3
20230019,Tạ Duy Anh,02/12/2003,Phú Thọ,CNTT02,6.8
20230020,Cao Thị Yến,16/06/2003,Hải Dương,CNTT02,6.0
20230021,Mai Xuân Trường,24/03/2003,Thái Nguyên,KTPM01,7.7
20230022,Đào Phương Thảo,07/10/2002,Hà Nam,KTPM01,5.2
20230023,Hồ Văn Khoa,13/05/2003,Nghệ An,KTPM01,6.0
20230024,Ngô Thị Bích,29/07/2003,Thanh Hóa,KTPM01,6.4
20230025,Trần Đức Mạnh,18/01/2003,Hà Nội,KTPM01,6.9
20230026,Nguyễn Thị Như,04/09/2002,Đà Nẵng,KTPM01,8.7
20230027,Lê Minh Trí,20/11/2003,Quảng Nam,KTPM01,5.6
20230028,Phạm Hồng Vân,02/02/2003,Hải Phòng,KTPM01,7.2
20230029,Hoàng Văn Khánh,11/08/2003,Hòa Bình,KTPM01,7.6
20230030,Vũ Thị Hà,27/06/2003,Tuyên Quang,KTPM01,4.7
20230031,Đặng Văn Long,09/01/2003,Yên Bái,KHMT01,7.7
20230032,Bùi Thị Ngọc,15/04/2002,Lào Cai,KHMT01,5.4
20230033,Đỗ Quang Vinh,23/09/2003,Bắc Giang,KHMT01,4.8
20230034,Nguyễn Kim Anh,01/12/2003,Sơn La,KHMT01,9.5
20230035,Trần Văn Sơn,12/07/2003,Điện Biên,KHMT01,9.6
20230036,Lê Thị Thu,05/03/2002,Hà Giang,KHMT01,8.8
20230037,Phạm Văn Tiến,19/10/2003,Quảng Ngãi,KHMT01,6.1
20230038,Hoàng Thị Tuyết,31/05/2003,Bình Định,KHMT01,5.0
20230039,Vũ Minh Quân,14/08/2003,Phú Yên,KHMT01,8.1
20230040,Đặng Bích Phương,26/02/2003,Khánh Hòa,KHMT01,6.8
20230041,Bùi Văn Hùng,08/11/2002,Gia Lai,HTTT01,5.1
20230042,Đỗ Thị Kiều,17/06/2003,Đắk Lắk,HTTT01,7.1
20230043,Ngô Văn Toàn,22/01/2003,Lâm Đồng,HTTT01,4.7
20230044,Dương Thị Huệ,10/04/2003,Bình Dương,HTTT01,9.3
20230045,Lý Minh Tuấn,03/09/2002,Đồng Nai,HTTT01,5.9
20230046,Nông Văn Hoàng,28/12/2003,Tây Ninh,HTTT01,8.0
20230047,Trịnh Thị Giang,14/07/2003,Bà Rịa - Vũng Tàu,HTTT01,6.2
20230048,Đinh Văn Thành,06/05/2003,TP Hồ Chí Minh,HTTT01,7.3
20230049,Lương Thiện Nhân,20/02/2002,Long An,HTTT01,7.4
20230050,Phan Thị Cẩm,11/10/2003,Cần Thơ,HTTT01,5.5
